Nome,Continuidade,Tipo,Espécie,Planeta Natal,Altura,Massa,Nascimento,Morte,Famílias,Pais,Parceiros,Irmãos,Filhos,Mestres,Aprendizes,Afiliação
Tanquar,Legends,N/A,Mon Calamari,Dac,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Mon Calamari Rangers
Sturves,Legends,Sith Empire,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Fel Empire; Darth Krayt's Galactic Empire; Imperial Army
Gold Six (clone trooper),Legends,Galactic Republic,Human (clone),Kamino,1.83 meters,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Republic; Gold Squadron
Bor Alsek,Legends,Sith Empire,Sluissi,N/A,N/A,N/A,N/A,"137 ABY, Dac",new,new,new,new,new,N/A,N/A,Fel Empire; Darth Krayt's Galactic Empire; Imperial Army
Chi Cho,Legends,Galactic Republic,Pantoran,Pantora,1.98 meters,N/A,N/A,"22 BBY, Orto Plutonia",new,new,new,new,new,N/A,N/A,Pantoran Assembly; Galactic Republic
Pantoran Assembly Representative,Legends,N/A,Pantoran,Pantora,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Pantoran Assembly
Thi-Sen,Legends,Bureaucrat,Talz,Orto Plutonia,2.48 meters,110 kilograms,N/A,N/A,new,new,new,new,new,N/A,N/A,Talz village
Shark Leader,Legends,Sith Empire,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Darth Krayt's Galactic Empire; Shark Squadron
Riyo Chuchi,Legends,Galactic Republic,Pantoran,Pantora,1.65 meters,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Pantoran Assembly; Galactic Republic; Galactic Senate
Medcha Wanto,Legends,N/A,Talz,Orto Plutonia,2.48 meters,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Talz village
Kajin Savaros,Legends,Jedi,Human,M'haeli,N/A,N/A,"33 BBY, M'haeli",N/A,new,new,new,new,new,Jax Pavan ; Darth Vader,N/A,Jedi Order; Order of the Sith Lords ; Galactic Empire
Probus Tesla,Legends,Galactic Empire,Human,Corellia,N/A,N/A,N/A,"18 BBY, Kantaros Station",new,new,new,new,new,Kuthara; Darth Vader,Renefra Ren,Galactic Empire; Inquisitorius
Kuthara,Legends,Galactic Empire,Falleen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Probus Tesla,Galactic Empire; Inquisitorius
Unidentified CIS spy senator,Legends,CIS,Human,N/A,N/A,N/A,N/A,"c. 22 BBY, Coruscant",new,new,new,new,new,N/A,N/A,Galactic Republic; Galactic Senate ; Confederacy of Independent Systems
Kal Brigger,Legends,Criminal,Human,N/A,N/A,N/A,N/A,"44 BBY, Troiken",new,new,new,new,new,N/A,N/A,Smugglers' Confederation
Wlinc Tchrr,Legends,N/A,Kajain'sa'Nikto,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Hutts
Mindt F'abul,Legends,N/A,Aqualish,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Reluctant stormtrooper sergeant,Legends,Galactic Empire,Human,N/A,N/A,N/A,N/A,"11 ABY, Anoth",new,new,new,new,new,N/A,N/A,Galactic Empire; Stormtrooper Corps
Wren,Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Unidentified Jedi Knight (Mustafar),Legends,Jedi,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Jedi Order; Galactic Republic
Cobak (Xandank),Legends,Pet,Xandank,Mustafar,N/A,N/A,N/A,"1 ABY, Mustafar",new,new,new,new,new,N/A,N/A,N/A
Malory Lands,Legends,N/A,Human,Bellassa,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,The Eleven
Diblen Harleys's mother,Legends,N/A,Human,N/A,N/A,N/A,N/A,c. 4 BBY,new,new,new,new,new,N/A,N/A,N/A
Diblen Harleys's father,Legends,Galactic Empire,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire
Jakohaul Lessor,Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire
Ludlo Lebauer,Legends,Criminal,Jenet,N/A,Tall,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Aeona Cantor,Legends,Criminal,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Mindor resistance
Ember Chankeli,Legends,N/A,Human,Telerath,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Zev Senesca's mother,Legends,Rebel,Human,N/A,N/A,N/A,N/A,Prior to 0 ABY,N/A,N/A,Husband,N/A,Zev Senesca,N/A,N/A,Kestic Station; Alliance to Restore the Republic
Zev Senesca's father,Legends,Rebel,Human,N/A,N/A,N/A,N/A,Prior to 0 ABY,N/A,N/A,Wife,N/A,Zev Senesca,N/A,N/A,Kestic Station; Alliance to Restore the Republic
Morrax Nabin,Legends,Galactic Empire,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire
Taezii,Legends,Pet,Voorpak,Naboo,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Lu Esi,Legends,Criminal,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Bronwynn Koft,Legends,N/A,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galaxy Tours
Tash Metonae,Legends,Galactic Republic,N/A,Alderaan,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Republic; Galactic Senate
Frix,Legends,Galactic Republic,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Republic; Office of the Supreme Chancellor
Maree Praji,Legends,Galactic Empire,Human,Coruscant,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,House Praji
Hower Jerimott,Legends,N/A,Behebothan,Beheboth,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Mils Giel's great-uncle,Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire
Pers'lya,Legends,Galactic Republic,Bothan,Bothawui,N/A,N/A,N/A,"11,987 BBY",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Republic; Office of the Supreme Chancellor
Crovan Dane,Legends,Bounty hunter,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Jedi Order ; Galactic Republic
Dien Suub,Legends,Corporate,Sullustan,Sullust,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SoroSuub Corporation
Khyyynett,Legends,Musician,Wookiee,N/A,N/A,N/A,N/A,"c. 17 BBY, Alderaan",new,new,new,new,new,N/A,N/A,N/A
Dyni Endarsin,Legends,N/A,Zeltron,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Cednah Faenel,Legends,N/A,Human,Alderaan,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Mahg-Raet Duumont,Legends,N/A,Herglic,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Anjeru Valett,Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Griff Praji,Legends,N/A,Human,Coruscant,N/A,N/A,N/A,N/A,House Praji,N/A,N/A,Tannon Praji,Nahdonnis Praji,N/A,N/A,N/A
Tyla Praji,Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,House Praji,Nahdonnis Praji,N/A,N/A,N/A,N/A,N/A,N/A
Slick,Legends,CIS,Human,Kamino,1.83 meters,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Republic; Confederacy of Independent Systems
Chopper (clone trooper),Legends,Galactic Republic,Human,Kamino,1.83 meters,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Republic
Jester,Legends,Galactic Republic,Human,Kamino,1.83 meters,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Republic
Gus,Legends,Galactic Republic,Human,Kamino,1.83 meters,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Republic
Sketch,Legends,Galactic Republic,Human,Kamino,1.83 meters,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Republic
Triven,Legends,Criminal,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Red Fury Brotherhood
Naand,Legends,Criminal,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Red Fury Brotherhood
Ytram,Legends,Criminal,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Red Fury Brotherhood
Gus-Gus Tren,Legends,N/A,Gungan,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Tar Jiloma,Legends,N/A,Twi'lek,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Smooch,Legends,N/A,Tarasin,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Maltok (Trandoshan),Legends,N/A,Trandoshan,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,House Renseth
Furran,Legends,N/A,Filordus,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,House Intari
Gusimin,Legends,N/A,Caarite,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Koyi Kobad,Legends,N/A,Twi'lek,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,House Pthen
Farfer,Legends,N/A,Ithorian,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Sebaracca,Legends,N/A,Wookiee,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Club 111
Bael,Legends,N/A,Wookiee,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Club 111
Touda,Legends,N/A,Wookiee,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Club 111
Delan (permitor),Legends,Bureaucrat,Twi'lek,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Fot Ducela,Legends,Bureaucrat,Human,Genarius,N/A,N/A,c. 53 BBY,N/A,new,new,new,new,new,N/A,N/A,N/A
Blibbie,Legends,N/A,Sullustan,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Hurrwarr,Legends,N/A,Wookiee,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Cabana Bar
Ta'Sen,Legends,N/A,Tarasin,Cularin,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Sanads of Rorkee
Trago Smusch,Legends,N/A,Trandoshan,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Sanads of Rorkee
Ulo Enan,Legends,Corporate,Ithorian,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Sanads of Rorkee
Bora Edtuth,Legends,N/A,Gungan,Naboo,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Nan Syboeseb,Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Sanads of Rorkee
Ylla Nalooma,Legends,N/A,Twi'lek,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Sanads of Rorkee
Mik,Legends,N/A,Gungan,Naboo,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Donn,Legends,N/A,Gungan,Naboo,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Har Fuggaw,Legends,N/A,Rodian,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Sanads of Rorkee
Barma Fel'Lona,Legends,N/A,Rodian,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Sanads of Rorkee
Kli-Klu Niib,Legends,N/A,Sullustan,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Sanads of Rorkee
Shilaea Motacc,Legends,N/A,Human,N/A,N/A,N/A,60 BBY,N/A,new,new,new,new,new,N/A,N/A,N/A
Punch,Legends,Galactic Republic,Human,Kamino,1.83 meters,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Republic
Tyler Sapius Praji,Legends,Galactic Republic,Human,Kaikielius,N/A,N/A,N/A,N/A,House Praji,new,new,new,new,N/A,N/A,Galactic Republic; Core Founders
Ardia Terrsyn,Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Wachs Tauph,Legends,N/A,Bothan,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Z'paul Diin,Legends,N/A,Duros,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Stae-Fahnti Koelbayr,Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Fia Nazhena,Legends,N/A,Cathar,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Sparky (Human),Legends,N/A,Human,Artorias,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Artorias resistance
Finn Galfridian,Legends,Jedi,Human,Artorias,N/A,N/A,"6 ABY, Artorias",N/A,Galfridian family,Caled Galfridian; Nina Galfridian,N/A,Kaye Galfridian,N/A,Luke Skywalker,N/A,New Jedi Order; New Republic
Brial Sullor,Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Tusken King,Legends,N/A,Tusken Raider,Tatooine,N/A,N/A,N/A,"1 ABY, Tatooine",new,new,new,new,new,N/A,N/A,Sand People tribe
Lorrb,Legends,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iskit Tyestin,Legends,N/A,Human,Bakura,N/A,N/A,N/A,4 ABY,new,new,new,new,new,N/A,N/A,N/A
Bock Nabyl,Legends,Galactic Empire,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Zsinj's Empire
Sartok,Legends,Rebel,Nazren,Nizon,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Nizon resistance
Ackrahbala,Legends,N/A,Chagrian,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Ackrahbala's Swoops & Speeders
"Unidentified Imperial commander (Executor, Feswe)",Legends,Galactic Empire,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire
"Unidentified Imperial captain (Executor, Krake's Planet)",Legends,Galactic Empire,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire
Unidentified Imperial admiral (Executor),Legends,Galactic Empire,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire; Imperial Navy
Solwyn Tamm,Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Meera Lisso,Legends,Jedi,Human,N/A,N/A,N/A,c. 38 BBY,N/A,new,new,new,new,new,Zelice Sturm,N/A,Jedi Order
Garee,Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Thaereian military
Kowen,Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Thaereian military
Yurge,Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Thaereian military
Jax (Human),Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Thaereian military
Alder,Legends,N/A,Human,Acherin,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Snem Noonb,Legends,N/A,Sullustan,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Nuvo Vindi,Legends,CIS,Faust,Adana,2.07 meters,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Perma families; Confederacy of Independent Systems
Peppi Bow,Legends,N/A,Gungan,Naboo,2.01 meters,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Neeyutnee,Legends,Galactic Republic,Human,Naboo,1.69 meters,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Royal House of Naboo; Naboo Royal Advisory Council
Chrin,Legends,N/A,Human,Naboo,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Royal House of Naboo; Royal Naboo Security Forces
Jaybo Hood,Legends,N/A,Human,Iego,1.4 meters,N/A,32 BBY,N/A,new,new,new,new,new,N/A,N/A,N/A
Amit Noloff,Legends,N/A,Quarren,Iego,1.82 meters,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Iego council
Taquito,Legends,N/A,Rodian,N/A,N/A,N/A,N/A,"22 BBY, over Iego",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zelice Sturm,Legends,Jedi,Human,N/A,N/A,N/A,N/A,"Circa 19 BBY, Almas",new,new,new,new,new,N/A,Meera Lisso,Jedi Order
Darva,Legends,N/A,Biituian,Biitu,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Kaye Galfridian,Legends,New Republic,Human,Artorias,N/A,N/A,"7 ABY, Artorias",N/A,Galfridian family,Caled Galfridian; Nina Galfridian,N/A,Finn Galfridian,N/A,N/A,N/A,New Republic
Unidentified Coruscant Guard 1 (Florrum),Legends,Galactic Republic,Human,Kamino,1.83 meters,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Republic; Grand Army of the Republic; Coruscant Guard; Diplomatic Escort Group
Berpo,Legends,Criminal,Toydarian,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Zelice Sturm
Wampa1,Legends,Criminal,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Tal Anavere,Legends,Rebel,Ho'Din,N/A,N/A,N/A,c. 70 BBY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Alliance to Restore the Republic
Ko-oda,Legends,N/A,Cerean,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Crystal Wasters
Numa,Legends,N/A,Twi'lek,Ryloth,1 meter,N/A,"c. 27 BBY, Ryloth",N/A,new,new,new,new,new,N/A,N/A,N/A
Neb Nagguth,Legends,N/A,Sullustan,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Miko (Human),Legends,N/A,Human,Genarius,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Ellor Koota,Legends,N/A,Duros,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Abso Bar Binks's mother,Canon,N/A,Gungan,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Unidentified Imperial captain (scar),Canon,Galactic Empire,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire
Siro Simito,Legends,Rebel,Human,N/A,N/A,N/A,c. 32 BBY,N/A,Vallaido Clan,new,new,new,new,N/A,N/A,Alliance to Restore the Republic
Elkan Danneer,Legends,Corporate,N/A,Genarius,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Tourism Council of Oluna Biqua
Victor Visalis,Legends,Galactic Empire,Human,Tatooine,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire
Winn Barezz,Legends,Galactic Empire,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire
Skalus,Legends,Galactic Empire,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Empire
Sansin Koriss,Legends,Sith,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Sith Empire
Bavik Vannor,Legends,Sith,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Jedi Order ; Sith Empire
Valik Kodank,Legends,Sith,Near-Human,N/A,N/A,N/A,N/A,"c. 5000 BBY, Tascollan Nebula (physical death); c. 7 ABY, Tascollan Nebula (spirit)",new,new,new,new,new,Janton Belos,Thaum Rystra; Maric Tovar,Sith Empire
Janton Belos,Legends,Sith,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,Valik Kodank,Sith Empire
Thaum Rystra,Legends,Dark Jedi,Human,Alderaan,1.7 meters,Around 68 Kilograms,N/A,N/A,new,new,new,new,new,Valik Kodank,Tol Skaros,Galactic Empire; Alliance to Restore the Republic
Tol Skaros,Legends,Dark Jedi,Whiphid,N/A,1.6 meters,N/A,N/A,"3 ABY, Dalicron-4",new,new,new,new,new,Thaum Rystra,N/A,N/A
Desvin Tor'thal,Legends,Criminal,Twi'lek,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Thaum Rystra
Vobin Sobos,Legends,Criminal,Dug,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Kamtis Bonai,Legends,Criminal,Bothan,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Unidentified Toydarian royal guard,Legends,Bureaucrat,Toydarian,Toydaria,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Toydarian royal delegation; Toydarian royal guard; Galactic Republic
Blaschowwa,Legends,Criminal,Wookiee,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gel (Jedi),Legends,Jedi,Human,N/A,N/A,N/A,Between 67 BBY and 62 BBY,"3 ABY,",new,new,new,new,new,N/A,N/A,Jedi Order; Galactic Republic
Ziro Desilijic Tiure,Canon,Hutt Cartel,Hutt,Sleheyron; Coruscant,3.9 meters long,N/A,N/A,"21 BBY, Teth",Desilijic,Mama; Papa,N/A,Unidentified brother; Ebor,Hiro,N/A,N/A,Hutt Clan; Ziro the Hutt's criminal organization; Black Sun
Poorfo,Legends,N/A,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
TK-331,Legends,Galactic Empire,N/A,N/A,N/A,N/A,N/A,"2 BBY, Death Star I",new,new,new,new,new,N/A,N/A,Galactic Empire; Stormtrooper Corps
Unidentified clone trooper pilot (Florrum),Legends,Galactic Republic,Human,Kamino,1.83 meters,N/A,N/A,"22 BBY, Florrum",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Republic; Grand Army of the Republic; Diplomatic Escort Group
Toki Tollivar,Legends,Sith,Bimm,N/A,Short,N/A,N/A,"3963 BBY, Chancellor Fillorean",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Republic; Ministry of Commerce; Exar Kun's Sith Empire
Erra,Legends,N/A,Human,Daimar,N/A,N/A,N/A,"22 BBY, Daimar",new,new,new,new,new,N/A,N/A,Lamont Dynasty of Daimar
Halno'an,Legends,N/A,Twi'lek,Ryloth,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Shud Haloo,Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Rycar Ryjerd
Bethelia Halvala,Legends,N/A,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Coalition of Automaton Rights Activists; Symatrum League
Hamaz,Legends,Galactic Empire,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire
Hamelin,Legends,Rebel,Human,Aargonar 3,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Alliance to Restore the Republic
Zaz Kamiroz,Legends,Rebel,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Alliance to Restore the Republic
Shen-Ji Collun,Legends,Jedi,Human,N/A,1.7 meters,N/A,N/A,N/A,new,new,new,new,new,Shen-Ji Collun's master,N/A,Jedi Order; Galactic Republic
Quaagan,Legends,CIS,Wookiee,Kashyyyk,N/A,N/A,N/A,c. 21 BBY,new,new,new,new,new,N/A,N/A,Confederacy of Independent Systems
Hanco,Legends,N/A,N/A,Dagro,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Shalimin,Legends,Jedi,Mon Calamari,Dac,N/A,N/A,N/A,N/A,new,new,new,new,new,Upulu,N/A,Jedi Order; Galactic Republic
Upulu,Legends,Jedi,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,Shalimin,Jedi Order; Galactic Republic
Wamtra,Legends,Jedi,Rodian,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,Nemen Ull,N/A,Jedi Order; Galactic Republic
Nemen Ull,Legends,Jedi,N/A,N/A,N/A,N/A,N/A,"c. 22 BBY, Argul",N/A,N/A,N/A,N/A,N/A,N/A,Wamtra,Jedi Order; Galactic Republic
Ren Auglu,Legends,Jedi,Human,Naboo,N/A,N/A,N/A,N/A,new,new,new,new,new,Ulseh,N/A,Jedi Order; Galactic Republic
Mariineh,Legends,Jedi,Twi'lek,Ryloth,N/A,N/A,N/A,N/A,new,new,new,new,new,Silmis Vey,N/A,Jedi Order; Galactic Republic
Silmis Vey,Legends,Jedi,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,Mariineh,Jedi Order; Galactic Republic
Drogen Hosh,Legends,CIS,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Confederacy of Independent Systems
Olge Plavi-Dol,Legends,Jedi,Human,Commenor,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Jedi Order; Galactic Republic
Teo Gronn,Legends,Jedi,Duros,Coruscant,N/A,N/A,c. 35 BBY,N/A,new,new,new,new,new,Lyron; Oshi-Jid,N/A,Jedi Order; Galactic Republic
Lyron,Legends,Jedi,Duros,N/A,N/A,N/A,N/A,"22 BBY, Geonosis",N/A,N/A,N/A,N/A,N/A,N/A,Teo Gronn,Jedi Order; Geonosis strike team
Oshi-Jid,Legends,Jedi,N/A,N/A,N/A,N/A,N/A,"22 BBY, over Muunilinst (presumed)",N/A,N/A,N/A,N/A,N/A,N/A,Teo Gronn,Jedi Order; Galactic Republic
Ulseh,Legends,Jedi,N/A,N/A,N/A,N/A,N/A,"22 BBY, Argul",new,new,new,new,new,N/A,Ren Auglu,Jedi Order; Galactic Republic
Rokak'k,Legends,N/A,Gree,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Gree Enclave
Geordi Hans,Legends,N/A,Human,Tatooine,1.6 meters,N/A,17 BBY—13 BBY,N/A,new,new,new,new,new,N/A,N/A,Spaceport Speeders; Farns
Jeff Pill,Legends,N/A,Human,Tatooine,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Farns
Franklin Scott,Legends,N/A,Human,Tatooine,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Farns
Kem Tija,Legends,Galactic Empire,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire; Coalition for Progress
